file,dur,action,reason,original,final
ep18_00420.88s,2.80,keep,,胸がキュッて痛くなった,胸がキュッて痛くなった
ep18_00580.04s,6.62,keep,,あの本の続き,あの本の続き
ep18_00847.32s,1.25,keep,,ひいいいい,ひいいいい
ep18_00855.82s,8.74,keep,,チーの知らないとこ,チーの知らないとこ
ep18_00864.32s,6.00,keep,,ひできの部屋じゃない,ひできの部屋じゃない
ep18_00870.20s,9.05,keep,,ちーどうしてここにいる,ちーどうしてここにいる
ep18_00882.32s,2.44,keep,,に、誘拐?,に、誘拐？
ep18_00889.16s,2.94,keep,,さらわれた,さらわれた
ep18_00891.90s,1.97,keep,,また、それおかず?,また、それおかず？
ep18_00907.00s,3.13,keep,,ね。ちぃ、わからないこといっぱい。,ね。ちぃ、わからないこといっぱい。
ep18_00913.96s,4.24,keep,,そう、秀樹は、秀樹は地位を拾ってくれた。,そう、秀樹は、秀樹は地位を拾ってくれた。
ep18_00920.66s,3.02,keep,,ひできはチーにいろいろ教えてくれる,ひできはチーにいろいろ教えてくれる
ep18_00937.06s,2.89,keep,,小島 よしゆき,小島 よしゆき
ep18_00941.66s,2.39,keep,,ここどこ?,ここどこ？
ep18_00948.04s,2.80,keep,,さっきこれが,さっきこれが
ep18_00963.10s,1.39,keep,,ちー覚えた,ちー覚えた
ep18_00964.38s,1.50,keep,,これコトコ,これコトコ
ep18_00973.48s,3.20,keep,,ジー、ここに誘拐されてきた?,ジー、ここに誘拐されてきた？
ep18_00979.86s,1.66,keep,,どうして?,どうして？
ep18_01010.90s,4.28,keep,,ジョビッツチーガー,ジョビッツチーガー
ep18_01017.36s,1.50,keep,,ちーわちー,ちーわちー
ep18_01022.96s,3.62,keep,,チーは最初チーンしか言えなかったから,チーは最初チーンしか言えなかったから
ep18_01056.46s,4.59,keep,,ちいはひできがつけてくれた名前,ちいはひできがつけてくれた名前
ep18_01060.96s,3.45,keep,,ひできがつけてくれた,ひできがつけてくれた
ep18_01064.32s,2.15,keep,,だからちー,だからちー
ep18_01067.76s,1.73,keep,,大好き,大好き
ep19_01445.06s,3.66,keep,,地位の特別な人,地位の特別な人
ep19_01448.66s,5.62,keep,,ちょびっつ 次回 地位 求める,ちょびっつ 次回 地位 求める
ep19_01454.20s,4.03,keep,,チーのチーだけの人,チーのチーだけの人
ep20_00107.51s,4.87,keep,,ひできのとき,ひできのとき
ep20_00121.57s,1.61,keep,,チーじゃなかったら,チーじゃなかったら
ep20_00161.56s,2.50,keep,,始めるって何を?,始めるって何を？
ep20_00256.74s,1.21,keep,,リボム,リボム
ep20_00298.06s,1.71,keep,,ちー特別,ちー特別
ep20_00949.66s,1.44,keep,,ビデッキ,ビデッキ
ep20_00988.82s,2.10,keep,,急に意識が…,急に意識が…
ep20_01006.82s,2.16,keep,,いってき,いってき
ep20_01010.82s,2.17,keep,,ひできひできひでき,ひできひできひでき
ep20_01015.82s,2.06,keep,,ちわち,ちわち
ep20_01021.82s,3.11,keep,,ち、うれしい,ち、うれしい
ep20_01024.82s,4.10,keep,,ひできが来てくれて嬉しい,ひできが来てくれて嬉しい
ep20_01230.80s,1.18,keep,,てぃ,てぃ
ep20_01265.08s,3.62,keep,,ひでき、どこ行くの?,ひでき、どこ行くの？
ep20_01421.28s,2.01,keep,,チート秀樹にもある?,チート秀樹にもある？
ep20_01428.34s,2.99,keep,,秀樹とジーの思い出,秀樹とジーの思い出
ep21_00220.34s,3.30,keep,,ひできお出かけ,ひできお出かけ
ep21_00225.74s,2.00,keep,,チーク,チーク
ep21_00235.00s,1.79,keep,,チーンバイト楽しい,チーンバイト楽しい
ep21_00248.00s,2.66,repaired,latin,Gバイトより今の方がいい,チーパイトより今の方がいい
ep21_00253.12s,1.95,keep,,ちー楽しい,ちー楽しい
ep21_00806.16s,2.39,keep,,ひできが様子見てこいって,ひできが様子見てこいって
ep21_00811.90s,5.88,keep,,ゆずき,ゆずき
ep21_00851.42s,1.44,keep,,どんなこと?,どんなこと？
ep21_00858.52s,3.12,keep,,新秀樹喜ぶと嬉しい,新秀樹喜ぶと嬉しい
ep21_00861.48s,2.00,keep,,ひでき喜ぶなら,ひでき喜ぶなら
ep21_00863.44s,1.76,keep,,する,する
ep21_01247.30s,1.28,keep,,ゆずき,ゆずき
ep21_01249.70s,1.62,keep,,ゆずき嬉しそうだった,ゆずき嬉しそうだった
ep21_01252.56s,2.02,keep,,チームうれしい,チームうれしい
ep21_01266.72s,3.10,keep,,ジーとヒデキも思い出ある?,ジーとヒデキも思い出ある？
ep22_00197.50s,6.66,keep,,チ、チロルでもらったお金で料理するチ、秀樹の笑顔見たい,チ、チロルでもらったお金で料理するチ、秀樹の笑顔見たい
ep22_00312.06s,2.18,keep,,チーム手伝う,チーム手伝う
ep22_00314.24s,2.06,keep,,チーバイトしに来た,チーバイトしに来た
ep22_00321.24s,1.11,keep,,"じー-,","じー-,"
ep22_00337.24s,1.07,keep,,チュープ,チュープ
ep22_00405.98s,2.07,keep,,違う,違う
ep22_00524.98s,1.76,keep,,今もそう,今もそう
ep22_00539.34s,2.48,keep,,ユミさんが泣いたのはチーのせい,ユミさんが泣いたのはチーのせい
ep22_00541.72s,1.68,keep,,地位を見て泣いた,地位を見て泣いた
ep22_00549.04s,1.59,keep,,さよなら,さよなら
ep22_00650.86s,1.65,keep,,さよならのせい,さよならのせい
ep22_00660.44s,2.31,keep,,さよならどれも同じ,さよならどれも同じ
ep22_00711.16s,2.37,keep,,好きです,好きです
ep22_00940.98s,1.98,keep,,嫌いな人の近くにいたの?,嫌いな人の近くにいたの？
ep22_00960.66s,2.61,keep,,また、この服を見たら、,また、この服を見たら、
ep22_00973.48s,4.07,keep,,歌いのつらい?どうすればいいの?,歌いのつらい？どうすればいいの？
ep22_01212.80s,2.09,keep,,ちー間違えた,ちー間違えた
ep22_01214.84s,4.00,keep,,これゆみさんのだって店長言ってた,これゆみさんのだって店長言ってた
ep22_01234.50s,1.68,keep,,私を,私を
ep22_01291.14s,5.10,keep,,ひできつなぐの幸せ,ひできつなぐの幸せ
ep22_01438.34s,3.16,keep,,その人がそばにいてくれると幸せ。,その人がそばにいてくれると幸せ。
ep22_01454.24s,4.90,keep,,ちょびっつ次回地位決める,ちょびっつ次回地位決める
ep23_00171.38s,1.23,keep,,非常デスク!,非常デスク！
ep23_00182.70s,1.98,keep,,いらっき,いらっき
ep23_00200.24s,3.96,keep,,チー,チー
ep23_00221.30s,5.88,keep,,今でも胸が辛くなる,今でも胸が辛くなる
ep23_00230.68s,3.74,keep,,大事なものをなくしたのに,大事なものをなくしたのに
ep23_00237.34s,4.18,keep,,でも私は探している,でも私は探している
ep23_00637.66s,1.80,keep,,おかえりなさい,おかえりなさい
ep23_00715.88s,1.18,keep,,いでき,いでき
ep23_00731.08s,4.92,keep,,秀樹、どうしてチーに抱きつく?,秀樹、どうしてチーに抱きつく？
ep23_01264.18s,8.78,keep,,あなたは,あなたは
ep23_01276.82s,3.17,repaired,latin,Gは秀樹が好き,チーは秀樹が好き
ep23_01279.90s,3.18,keep,,ひできはちぃが好き?,ひできはちぃが好き？
ep24_00099.00s,7.10,keep,,あなたは私だけの人?,あなたは私だけの人？
ep24_00109.70s,1.34,keep,,地位は秀樹が好き,地位は秀樹が好き
ep24_00288.00s,5.96,keep,,邪魔しないで,邪魔しないで
ep24_00687.16s,3.92,keep,,フレイヤが消える前に,フレイヤが消える前に
ep24_01113.70s,2.16,keep,,ひでき,ひでき
ep24_01224.70s,3.99,keep,,ひでき,ひでき
ep24_01228.50s,1.35,keep,,ありがとう,ありがとう
ep24_01231.26s,1.91,dropped,latin,Gパソコン,
ep24_01233.44s,2.46,keep,,地位人間じゃない,地位人間じゃない
ep24_01235.80s,2.34,keep,,できないこともある,できないこともある
ep24_01241.10s,1.91,keep,,ひできと一緒にいたい,ひできと一緒にいたい
ep24_01317.26s,1.39,keep,,ひでき,ひでき
